model,seq_len,peak_vram_mb,status
GPT2,128,585.96,SUCCESS
GPT2,256,597.98,SUCCESS
GPT2,512,620.28,SUCCESS
GPT2,1024,672.06,SUCCESS
GPT2,2048,775.62,SUCCESS
GPT2,4096,982.75,SUCCESS
GPT2,8192,1397.0,SUCCESS
MAMBA,128,868.0,SUCCESS
MAMBA,256,576.24,SUCCESS
MAMBA,512,613.6,SUCCESS
MAMBA,1024,689.82,SUCCESS
MAMBA,2048,842.26,SUCCESS
MAMBA,4096,1147.13,SUCCESS
MAMBA,8192,1756.88,SUCCESS
MAMBALOG,128,1004.32,SUCCESS
MAMBALOG,256,703.84,SUCCESS
MAMBALOG,512,737.96,SUCCESS
MAMBALOG,1024,814.18,SUCCESS
MAMBALOG,2048,966.61,SUCCESS
MAMBALOG,4096,1271.49,SUCCESS
MAMBALOG,8192,1881.24,SUCCESS
